gene,1,2,3,4
ENSG00000169855,94.29,2.86,2.86,0.00
ENSG00000092421,100.00,0.00,0.00,0.00
ENSG00000185008,100.00,0.00,0.00,0.00
ENSG00000058404,86.05,4.65,9.30,0.00
ENSG00000148737,89.19,5.41,5.41,0.00
ENSG00000107643,100.00,0.00,0.00,0.00
ENSG00000140416,91.30,0.00,8.70,0.00
ENSG00000139220,96.08,1.96,1.96,0.00
ENSG00000050748,84.21,5.26,10.53,0.00
ENSG00000187122,100.00,0.00,0.00,0.00
ENSG00000128641,100.00,0.00,0.00,0.00
ENSG00000010810,86.36,13.64,0.00,0.00
ENSG00000197122,100.00,0.00,0.00,0.00
